originating_id; orig_longitude; orig_latitude
1;-8.4138332;40.2183325
2;-8.4137050;40.2150886
3;-8.4133621;40.2115161
4;-8.4146076;40.2088753
5;-8.4153572;40.2073404
6;-8.4164557;40.2066635
7;-8.41979422;40.20724158
8;-8.4200136;40.2099484
9;-8.4238223;40.2115846
10;-8.42816826;40.21165019
11;-8.4326965;40.2146962
12;-8.43310287;40.21231292
13;-8.43232231;40.21087854
14;-8.4322278;40.2091776
15;-8.43050426;40.20725480
